time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,1.708359124079203e-08,-6.821875196849633e-08,10.001517003837051,6.283059850949545,6.2831601759277635,0.0,1.7465391018411342e-06,-7.865636506788703e-06,0.050565390354980824,-0.006640597137542636,-0.0012700768246635239,0.0,420.1438593421037,420.03375847755535,422.0437518271024,421.47035901200155
0.12000000000000001,-3.2016767634023463e-07,-4.781835716802842e-06,10.008230769829032,6.282673379636247,0.0007613639335968259,0.0,-6.0369498853967524e-05,-0.0001906017716494434,0.1732153486851455,-0.006045310678300512,0.03241132999575626,0.0,442.4077986138172,445.1718703942585,444.2553002674879,444.3042040778754
0.18,-2.6355873547727478e-05,-2.774362488984922e-05,10.020717125042651,6.282099474564767,0.0029695384545913583,0.0,-0.0010111623645079077,-0.0006193469720567218,0.2429833234807932,-0.01774541155856383,0.04438870825141876,0.0,425.6072613443829,426.63164466794694,428.85856246424817,427.8638970797794
0.23999999999999996,-0.00018796361990271,-0.00010235135702715481,10.046822994936143,6.281031036414792,0.005363447356384832,0.0,-0.004742511653978925,-0.002021082888781063,0.6270806080868636,-0.017931366001684677,0.028928834279359508,0.0,520.0764034567283,518.9931721672189,519.2498482050311,519.2369231533928
0.3,-0.0005976285288791469,-0.0002747171053096501,10.088463527922011,6.279778944428481,0.008255363893144185,0.0,-0.009176346280322382,-0.0038479853162522856,0.7608551979664957,-0.027505052612125776,0.07157445343514611,0.0,446.64404931312544,450.1093021660119,447.8469884991631,447.06772289844037
0.36000000000000004,-0.00137338441554938,-0.0005979347392359429,10.14130801014355,6.277989468273383,0.012763305826853255,0.0,-0.017221447021705777,-0.007135661020535821,1.0004426115630152,-0.03492118913171727,0.08143430544623168,0.0,479.9880082048334,480.7395369248086,479.47413725497057,478.9102440055074
0.4200000000000001,-0.0027197640359388074,-0.0011539452840706556,10.206589511659441,6.275967522950385,0.017421243498697336,0.0,-0.02819689808608302,-0.011629773847759753,1.1754344298026556,-0.031361001768882,0.06867709957335318,0.0,462.3546547320328,461.353099230596,460.2507202031824,460.53195548019437
0.48000000000000015,-0.00484626482480605,-0.0020316173227496047,10.28328365244501,6.274396301111601,0.02237826253684272,0.0,-0.04322667198224926,-0.017825299170644914,1.3807993761530137,-0.01745246770754562,0.10150353303664492,0.0,470.0906626251866,472.63198003809254,469.2193778080633,470.2976447585787
0.5400000000000001,-0.007962232563238785,-0.003300450521378504,10.37067845668307,6.272887434269544,0.02874010032158214,0.0,-0.0613181935097352,-0.024598447973760568,1.5321514508876566,-0.04864149338156322,0.11381480143405687,0.0,454.0657157985876,455.0616902862847,456.38766302778293,453.8914554357789
0.6000000000000002,-0.012325985590390704,-0.005022157831784953,10.467693690750426,6.270491467650844,0.03672119745601954,0.0,-0.08498127098441025,-0.03308263481322481,1.7014220529910629,-0.0265765466472091,0.15633159229410543,0.0,459.1943147559323,462.5688947384102,459.75692508572274,461.5008036048572
0.6600000000000003,-0.018049347611439667,-0.007218004034783064,10.568349958174867,6.268719388750743,0.04576827686752072,0.0,-0.1065414323641689,-0.040247076799953325,1.6538241669309046,-0.03622554739972332,0.13639526094773166,0.0,391.3975091961395,389.5623102005369,390.87381413969416,389.973191869124
0.7200000000000003,-0.025516767545068667,-0.009969870411298171,10.672634817653643,6.2670619750471595,0.05397006082946021,0.0,-0.1432790022317087,-0.0516876088381345,1.8220339008192368,-0.014393832140088145,0.13729131408919007,0.0,461.5134277550308,461.60066735631665,459.5213471374488,461.2483403982919
0.7800000000000004,-0.035369241846433294,-0.013437991105032717,10.786891395888292,6.266917529427246,0.06255605907089912,0.0,-0.18606188766710258,-0.06395956134581944,1.9861888552022646,0.01457358990304735,0.15272118063403975,0.0,459.41409018980505,460.6539606909658,459.60915303341335,461.8991692815607
0.8400000000000004,-0.04757473129241449,-0.017536162829943563,10.90459226045619,6.268024023452297,0.07146710355028496,0.0,-0.22151742737566615,-0.07256689457596983,1.9372063398495771,0.025230552796372756,0.13841642210506602,0.0,391.5478431795188,390.2386979530472,391.3062654824391,392.2970246506287
0.9000000000000005,-0.06240427450205499,-0.022203292370343762,11.024195234063665,6.269399613579509,0.07988773511280023,0.0,-0.2736550209379855,-0.08284994881884519,2.0492943608024143,0.01786710661441272,0.1439401994982497,0.0,444.4649087330902,444.9356275030624,445.6628920437911,445.0606999224987
0.9600000000000005,-0.0807032249316754,-0.02748354422399068,11.152501286358305,6.27223888002737,0.0886174869362959,0.0,-0.3372692873068446,-0.09289801355321513,2.2271540985077687,0.07704053994408207,0.1484352146858386,0.0,465.0266462933952,465.39734614619186,464.0236896374191,468.6465100261444
1.0200000000000005,-0.10283676892417624,-0.03326917529814424,11.28942571755531,6.276637801746832,0.0972240138671463,0.0,-0.40140452195359455,-0.09948600159344835,2.33668274684522,0.06457464902398855,0.13091035365174167,0.0,446.03217365393004,444.61766043606724,446.60622116713637,445.5924534206197
1.0800000000000005,-0.1290485386395576,-0.03936366168164979,11.433440894594382,6.280040132223178,0.10543229744380778,0.0,-0.4731489903879147,-0.10326721879060827,2.463456620057943,0.03228938641963386,0.1465448200754103,0.0,451.5445866338798,452.82082233842914,452.6323372814931,450.0286373756971
1.1400000000000006,-0.16002496239377403,-0.04562713712234181,11.58763667446189,6.281918335051692,0.1136286785204943,0.0,-0.5603854977719209,-0.10528755470195693,2.6757910934479026,0.029255006330980392,0.09171576374520865,0.0,480.29761034762976,476.13528030497713,478.54231027280474,478.3115497424385
